Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
0;65.4;24.3;73.8;89;3.24911E-09;67.4;24.3;34.5;87.8;6.18766E-12;68;26.8;37.6;86.5
0;63.8;24.4;75.2;87.9;2.19534E-15;65.7;24.4;33.8;84.1;-3.09383E-16;66.2;26.7;36.8;82.7
0;62.2;24.4;75.5;87.5;0;64;24.4;33.2;80.5;0;64.5;26.6;36;79.2
1.72475E-08;60.6;24.4;75.5;87.6;3.16678E-08;67.5;24.4;41;85.8;0;62.9;26.5;35.3;75.8
0;59.1;24.4;69.9;87.7;-4.39068E-13;67.9;24.4;44.3;84.9;5.18371E-08;68.9;40.2;41.8;87.5
0;57.7;24.4;69;87.2;0;66.1;24.4;43;81.2;1.54692E-13;67.4;41;42.4;84.1
6.74202E-07;69.4;37.1;39.3;90;9.25963E-07;69.3;37.1;30.6;89.9;1.29667E-06;69.2;29.3;32.2;89.7
5.81198E-07;69.4;37.1;38.7;90;5.59483E-07;69;37.1;31;89.8;4.24164E-08;67.4;30.5;32.5;88.2
5.36823E-07;69.4;36.6;38;90;2.45198E-07;68;36.6;30.9;88.9;3.27946E-08;67.3;30.5;31;87.8
6.41996E-08;68.9;35.2;45.9;89.4;2.3117E-08;67.9;35.2;31.4;88.5;4.58196E-08;67.7;34.5;34.9;88.1
0;67.2;34.8;61.7;88.7;1.09767E-13;66.1;34.8;31.2;84.8;3.09383E-13;66.7;35.2;35.5;84.6
0;69.2;39.9;65.3;88.5;2.91871E-08;66.4;39.9;34.3;84.9;4.64075E-16;64.9;34.8;34.7;81
2.55835E-08;67.8;42.4;44.6;88.7;2.4061E-08;68.1;42.4;37.9;88.4;6.59141E-08;68.4;38;39.1;87.8
1.34015E-08;66;41.8;41.8;88.5;2.3084E-08;66.6;41.8;35.4;88.1;1.34736E-08;67.2;39.3;40.5;84.9
1.40456E-08;69.1;39.7;45.3;88.8;1.98898E-08;67.3;39.7;31.3;87.9;2.84323E-08;68;27.1;32.9;88
0;68.2;43.2;56.7;88.2;1.09767E-13;65.7;43.2;30.5;84.4;3.09383E-14;66.2;26.9;32.6;84.1
0;66.4;42.6;68.1;87.8;4.39068E-17;64;42.6;30.2;80.8;4.02198E-08;67.7;31.4;32.6;87.8
2.4214E-08;64.6;42;41.2;88;4.98892E-08;68.2;42;37.2;87.9;3.03969E-08;67.4;29.2;30.2;87.7
1.33202E-08;63.5;39.5;38.7;88.4;2.50489E-08;67.7;39.5;37.9;87;4.98262E-08;67.7;35;35.7;87.9
1.26886E-08;68.6;36.1;38.5;88;2.3567E-08;66.5;36.1;35.2;88;3.65072E-08;67.6;34.7;35.1;87.8
0;67;37.9;49.7;88.4;4.39068E-14;64.8;37.9;34.6;84.4;6.18766E-14;66.2;34.7;34.6;84.4
0;65.2;37.5;71.2;87;1.09767E-16;63.2;37.5;33.9;80.7;1.54692E-16;64.5;34.3;34;80.7
1.65471E-08;63.6;37.1;51.9;87.8;2.93627E-08;68.5;37.1;38.3;87.5;3.84254E-08;68.2;35.9;36.8;87.4
1.69191E-07;66.3;35.5;49.8;88.8;1.09767E-13;66.9;35.5;38.3;84;6.18766E-14;66.6;36;36.7;84
0;67.8;35.7;50.2;88.7;-1.09767E-16;65.1;35.7;37.5;80.4;0;64.9;35.6;35.9;80.3
0;66;35.4;57.6;87.2;0;63.5;35.4;36.6;77;0;63.2;35.3;35.1;76.9
0;64.3;35;58;86.2;0;61.9;35;35.9;73.8;0;61.6;34.9;34.4;73.7
0;62.6;34.7;69.9;87.4;0;60.3;34.7;35.1;70.8;0;60.1;34.6;33.8;70.7
1.92611E-08;61;34.3;71.6;87;3.37644E-08;68.6;34.3;41.9;87.2;5.20228E-08;68.8;41.4;42.7;87.3
0;63;34.8;52.6;86.9;1.09767E-13;67.2;34.8;42.3;84;1.54692E-13;67.6;42.3;43.4;84
8.93066E-07;69.4;41.4;45;90;1.13195E-06;69.3;41.4;32.4;89.9;4.30074E-07;67.9;33.4;38.6;85.8
7.66405E-07;69.6;41.9;44;90;5.71239E-07;69.1;41.9;32.8;89.6;3.69156E-07;68.3;28.7;34.8;88.9
7.18596E-07;69.6;41;42.9;90;3.80036E-07;68.6;41;31.8;89.3;4.57361E-07;68.6;28.7;33.9;89
4.94311E-07;69.5;38.9;42.8;89.9;2.28645E-08;67.9;38.9;31.7;88.3;3.0335E-08;67.8;24.8;29;88.2
0;68.2;38.5;68;88.6;1.09767E-13;66.1;38.5;31.3;84.7;-1.54692E-14;66;24.2;28.2;84.5
0;66.5;38.1;67.3;88.1;2.922E-08;66.7;38.1;35;85.4;3.69558E-08;67.9;34.3;34.9;87.8
2.75597E-08;64.8;37.7;41.4;88.2;2.40829E-08;68;37.7;37.6;88.3;3.01958E-08;67.3;31.3;31.4;87.9
1.33202E-08;67.2;38.1;36.5;88;2.32267E-08;66.7;38.1;35.6;88;3.68011E-08;67.8;31.6;32.7;88
1.2501E-08;68.6;43.5;50.8;89;1.98569E-08;67.3;43.5;31.3;87.9;2.885E-08;67.5;28.6;30;87.9
0;66.8;42.9;58.8;87.4;1.09767E-13;65.7;42.9;30.6;84.4;6.18766E-14;65.7;28.1;29.3;84.4
0;65;42.3;68.3;88;1.09767E-16;64;42.3;30.2;80.8;4.45357E-08;68.3;38.6;39.4;87.9
2.29182E-07;65.2;39.7;40.8;88.8;4.98782E-08;68.2;39.7;37.2;87.9;2.97163E-08;67.4;33.1;34.4;87.7
3.4867E-07;68.8;35.2;46.6;89.4;2.50598E-08;67.6;35.2;37.8;87;3.18355E-08;67.3;31.8;32.5;87.8
3.49571E-07;69;37;41.1;89.5;4.60846E-07;68.3;37;31.6;88.9;3.21758E-08;67.5;30.3;31.7;87.8
2.43822E-07;69.1;36.7;40.7;89.5;3.57786E-07;68.9;36.7;32;89.1;5.44097E-07;68;28.8;33.6;87.5
3.79638E-07;69.1;38;45.5;89.5;3.55053E-07;68.8;38;32;89;3.28843E-07;68.5;30.8;35.2;88.2
2.75847E-07;69.1;38;42.5;89.7;3.83449E-07;69;38;33.5;89.4;2.71855E-07;68.7;28.7;35.4;88.1
