Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
0.00;61.40;26.20;55.30;87.50;3E-09;64.80;26.20;36.10;87.50;-3E-12;67.4;25.4;43.7;84.9
0.00;59.80;26.10;53.00;83.40;-3E-13;63.00;26.10;35.00;83.40;2E-14;65.4;25.4;42.3;81
-9E-16;58.10;25.90;51.00;79.50;1E-15;61.20;25.90;34.00;79.50;-1E-16;63.6;25.2;40.9;77.3
0E+00;56.60;25.80;49.10;75.90;-1E-16;59.50;25.80;33.10;75.80;0E+00;61.8;25.1;39.6;73.8
0E+00;55.00;25.60;47.30;72.40;0E+00;57.90;25.60;32.30;72.40;0E+00;60;24.9;38.4;70.5
7E-08;68.30;23.40;24.80;88.70;1E-07;63.20;23.40;24.80;80.50;0E+00;58.4;24.7;37.2;67.4
6E-07;68.80;39.10;47.30;90.00;7E-07;69.40;39.10;31.90;89.90;7E-07;69.1;27.3;32.8;89.3
4E-07;69.60;39.00;43.20;90.00;3E-07;69.10;39.00;30.90;89.80;1E-07;68.6;23.5;25;89.2
4E-07;69.60;38.80;41.90;89.90;2E-07;69.10;38.80;31.10;89.80;2E-07;68.9;25.4;26.1;89.7
6E-08;69.10;30.70;31.50;89.70;1E-07;69.00;30.70;30.60;89.70;2E-07;69;28.1;28.9;89.7
2E-08;68.80;35.10;35.70;89.10;6E-08;69.10;35.10;39.30;89.40;1E-07;69.3;41.5;41.7;89.7
-4E-14;67.10;35.10;34.70;85.80;1E-12;67.50;35.10;41.80;86.40;2E-10;68.6;56.4;67.8;87.8
0E+00;65.20;34.70;33.80;82.00;1E-16;65.60;34.70;40.50;82.50;2E-14;66.7;55.1;64.8;84.1
7E-08;67.70;22.00;22.80;88.30;0E+00;63.80;22.00;39.20;78.70;0E+00;64.8;53.9;62;80.2
5E-08;69.20;35.30;35.30;89.70;2E-07;68.50;35.30;20.50;89.00;2E-07;68.3;22.3;24.7;88.3
2E-08;69.50;53.10;53.20;89.50;9E-08;69.30;53.10;41.40;89.70;1E-07;69.3;41.4;41;89.7
7E-12;68.30;58.10;58.60;86.90;5E-08;69.60;58.10;53.00;89.60;6E-08;69.6;53.1;53;89.6
9E-16;66.30;56.80;56.20;82.90;6E-11;68.50;56.80;60.20;87.20;6E-11;68.5;59.5;60.2;87.2
0E+00;64.40;55.50;53.90;79.10;2E-13;66.60;55.50;57.80;83.40;2E-13;66.6;58.2;57.8;83.4
6E-08;68.20;26.40;27.50;87.90;4E-16;64.70;26.40;55.50;79.60;3E-16;64.7;56.9;55.5;79.6
5E-08;69.20;36.00;36.00;89.70;2E-07;68.70;36.00;22.90;89.10;2E-07;68.7;21.3;22.9;89.1
2E-07;69.40;53.90;56.10;89.40;7E-08;69.50;53.90;47.60;89.60;8E-08;69.5;48.1;47.6;89.6
2E-07;68.80;31.90;42.50;88.60;2E-08;69.60;31.90;59.90;89.30;3E-08;69.6;59.8;59.9;89.2
1E-07;68.90;34.10;42.50;88.40;-2E-12;68.10;34.10;60.90;86.30;-3E-12;68.1;60.2;60.7;86.3
1E-10;66.00;34.20;43.90;84.40;1E-14;66.20;34.20;58.50;82.50;1E-14;66.1;58.9;58.3;82.4
9E-14;64.20;33.80;42.40;80.50;-1E-16;64.30;33.80;56.10;78.70;-1E-16;64.2;57.7;56;78.6
-4E-16;62.30;33.40;41.00;76.70;0E+00;62.50;33.40;53.90;75.10;0E+00;62.4;56.5;53.8;75
0E+00;60.60;32.90;39.70;73.30;0E+00;60.70;32.90;51.80;71.70;0E+00;60.7;55.4;51.7;71.6
0E+00;58.90;32.50;38.40;70.00;0E+00;59.00;32.50;49.90;68.50;0E+00;59;54.3;49.8;68.5
0E+00;57.30;32.10;37.30;67.00;0E+00;57.40;32.10;48.00;65.60;0E+00;57.4;53.2;47.9;65.5
7E-07;67.70;43.10;54.20;89.90;8E-07;69.30;43.10;31.80;89.80;2E-07;60.8;42.1;45.5;72.6
5E-07;69.70;44.50;50.60;90.00;3E-07;68.80;44.50;24.30;89.80;3E-07;68.5;22.8;29.6;89.3
5E-07;69.70;42.10;48.80;90.00;3E-07;69.00;42.10;28.00;89.80;3E-07;68.7;25.7;28.5;89.8
4E-07;69.50;39.30;43.30;89.90;1E-07;69.00;39.30;28.80;89.70;2E-07;69;28;28.8;89.7
5E-08;69.20;39.60;39.60;89.70;9E-08;69.30;39.60;41.70;89.70;1E-07;69.3;41.4;41.3;89.7
3E-08;69.20;41.40;41.90;89.40;2E-10;68.60;41.40;67.80;87.80;1E-10;68.7;56.7;56.9;87.8
4E-13;67.60;44.90;44.10;86.40;2E-14;66.70;44.90;64.80;84.10;1E-14;66.8;55.4;54.6;84
2E-17;65.70;44.10;42.60;82.50;0E+00;64.80;44.10;62.00;80.20;0E+00;64.9;54.3;52.5;80.2
0E+00;63.80;43.30;41.20;78.80;2E-07;68.30;43.30;24.70;88.30;2E-07;68.2;22.4;23.7;88.3
7E-08;68.40;22.80;23.80;88.80;9E-08;69.30;22.80;41.00;89.70;1E-07;69.3;41.4;41;89.7
3E-07;69.00;42.30;47.50;89.80;5E-08;69.60;42.30;53.10;89.60;6E-08;69.6;53.2;53.1;89.6
2E-07;69.20;41.40;44.80;89.70;6E-11;68.50;41.40;60.20;87.20;6E-11;68.5;59.5;60.2;87.2
2E-07;68.80;35.10;47.50;88.80;2E-07;68.20;35.10;44.90;86.90;1E-07;68.5;34.3;48.6;87.3
2E-07;69.10;38.40;46.70;88.70;2E-07;68.70;38.40;31.50;88.40;3E-07;68.7;25.2;41.3;88
2E-07;68.60;35.30;48.10;88.60;4E-07;68.70;35.30;24.90;89.70;3E-07;68.5;20.6;23.5;89.6
2E-07;69.10;38.70;47.50;88.80;3E-07;69.10;38.70;43.10;89.80;2E-07;69.3;46.2;46.8;89.7
3E-07;68.80;38.60;48.00;88.90;2E-07;69.50;38.60;53.80;89.40;1E-07;69.5;57.8;58.3;89.4
2E-07;68.60;38.50;48.50;88.60;3E-07;69.00;38.50;32.60;89.10;2E-07;68.8;25.2;43.8;88.2
6E-08;68.70;25.70;28.70;89.30;-1E-12;68.10;25.70;32.30;87.10;1E-12;66.9;25.4;42.6;84.3
3E-08;69.50;49.40;48.70;89.60;2E-15;66.10;49.40;31.60;83.00;-5E-15;65;25.3;41.2;80.4
6E-09;69.30;60.60;61.00;88.70;-1E-17;64.20;60.60;30.80;79.20;0E+00;63.1;25.1;39.9;76.7
4E-13;67.50;59.70;59.90;85.10;0E+00;62.40;59.70;30.10;75.60;0E+00;61.4;25;38.7;73.2
-1E-15;65.60;58.40;57.50;81.30;0E+00;60.60;58.40;29.40;72.20;0E+00;59.7;24.8;37.5;69.9
9E-18;63.70;57.20;55.20;77.50;0E+00;58.90;57.20;28.80;69.00;0E+00;58;24.6;36.4;66.9
7E-07;67.60;44.10;56.10;89.90;9E-07;69.30;44.10;33.70;89.80;1E-06;69.1;29.1;36.9;89.9
5E-07;69.80;46.10;51.90;90.00;8E-07;69.40;46.10;32.60;90.00;5E-07;69.1;30.2;34.6;89.4
6E-07;69.70;43.00;50.40;90.00;6E-07;69.10;43.00;27.00;89.90;2E-07;68.5;15.7;17.3;89.6
5E-07;69.70;40.90;46.20;90.00;2E-07;68.80;40.90;23.30;89.80;2E-07;68.8;22.4;23.1;89.8
5E-08;69.20;37.50;37.70;89.70;1E-07;69.20;37.50;37.40;89.70;1E-07;69.2;37.3;37.3;89.7
4E-08;69.40;43.50;43.80;89.60;8E-08;69.40;43.50;43.60;89.60;9E-08;69.4;43.4;43.6;89.7
1E-11;68.40;54.60;54.30;87.40;3E-11;68.40;54.60;54.70;87.40;5E-11;68.5;55.3;55.3;87.5
1E-15;66.50;53.40;52.20;83.60;4E-15;66.50;53.40;52.60;83.60;5E-15;66.6;54;53.1;83.7
