Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
1.63867E-12;48.7;37.2;84.1;137;2.29339E-11;45.8;37.2;80.7;87.4;1.79874E-11;40.1;23.9;75.9;138
-8.19333E-16;47.5;36.6;80.1;130;-1.85699E-15;44.7;36.6;77;83.4;1.36268E-14;39.4;23.8;71.9;144
8.19333E-18;46.4;36.1;76.4;123;9.28497E-18;43.7;36.1;73.5;79.6;0;38.6;23.6;68.5;139
0;45.3;35.6;73;117;0;42.7;35.6;70.2;75.9;0;37.8;23.5;65.5;132
0;44.2;35.1;69.7;111;0;41.8;35.1;67.1;72.5;0;37;23.3;62.7;125
0;43.2;34.6;66.7;105;0;40.9;34.6;64.2;69.3;0;36.3;23.2;60.1;118
1.66862E-07;60.2;36.9;50.6;2125;1.68104E-08;52.2;36.9;67.3;87.4;0;35.6;23;57.6;112
2.22633E-08;60.9;38.4;72.3;93.4;4.12234E-08;64.8;38.4;28.6;88.8;5.06781E-08;62.2;17.3;25.1;93.3
4.09667E-14;59.3;37.7;70.5;95.3;4.12745E-08;68;37.7;33.6;89.9;4.54631E-08;69.1;30.8;31.5;89.9
0;57.7;37.2;67.5;92.2;2.21818E-08;69.4;37.2;42.3;89.9;3.22465E-08;69.4;42.2;42.6;89.9
0;56.2;36.6;64.6;88;1.3245E-08;69.7;36.6;53.4;89.8;1.85052E-08;69.7;53.5;53.7;89.8
1.7689E-08;68.6;18.8;20.8;89.7;1.16062E-11;68.9;18.8;61.6;88;1.00838E-11;68.8;60.3;61.3;87.8
1.04096E-08;69.4;40.2;40.6;89.9;9.28497E-16;67;40.2;59.2;84.3;1.36268E-15;66.8;58.9;58.9;84
6.49854E-09;69.6;51.4;51.5;89.8;0;65.1;51.4;56.9;80.4;0;64.9;57.7;56.5;80.2
3.01392E-09;69.4;53.4;54.2;89.3;0;63.2;53.4;54.6;76.7;0;63.1;56.5;54.3;76.5
4.09667E-14;67.7;54.7;55;86.1;0;61.4;54.7;52.5;73.3;0;61.3;55.3;52.2;73.1
0;65.8;53.5;53;82.2;0;59.7;53.5;50.5;70;0;59.6;54.2;50.2;69.8
0;63.8;52.4;50.8;78.2;0;58;52.4;48.5;66.8;0;57.9;53.1;48.3;66.6
0;62;51.4;48.9;74.7;0;56.4;51.4;46.8;63.9;0;56.3;52.1;46.5;63.8
2.01257E-08;50.7;38.4;65.6;106;0;54.9;38.4;45.1;61.3;0;54.8;51.1;44.9;61.1
1.89205E-08;40.9;26.7;83.9;139;0;53.5;26.7;43.6;58.7;0;53.4;50.1;43.3;58.6
3.93583E-08;43.1;29.5;83.2;140;0;52.1;29.5;42.1;56.3;0;52;49.2;41.9;56.2
3.60408E-08;43.3;30.1;82.4;138;0;50.8;30.1;40.7;54.1;0;50.7;48.3;40.5;54
3.65685E-08;43;29.7;82.6;138;0;49.5;29.7;39.4;52;0;49.4;47.4;39.2;51.9
7.21013E-11;43.4;30.6;82.2;139;0;48.3;30.6;38.2;50;0;48.2;46.5;38;49.9
4.09667E-14;42.4;30.2;78.4;131;0;47.1;30.2;37;48.2;0;47;45.7;36.8;48.1
-4.09667E-16;41.5;29.9;74.9;124;0;45.9;29.9;35.9;46.4;0;45.9;44.9;35.8;46.3
4.09667E-18;40.6;29.6;71.5;118;0;44.9;29.6;34.9;44.8;0;44.8;44.1;34.8;44.7
0;39.7;29.2;68.3;112;0;43.8;29.2;33.9;43.3;0;43.8;43.4;33.8;43.2
0;38.9;28.9;65.4;106;0;42.8;28.9;33;41.8;0;42.8;42.6;32.9;41.7
2.22955E-07;67.6;42.2;-57.5;7816;0;41.9;42.2;32.2;40.4;0;41.8;41.9;32.1;40.4
1.52388E-07;66.4;43.7;25.2;3368;1.05802E-07;64.1;43.7;27.9;96.6;5.03511E-08;63.2;20.8;20.2;79.7
4.80256E-08;67;23.9;31.4;155;7.33002E-08;65.7;23.9;39.3;94.7;4.57111E-08;69.1;30.6;31.3;89.9
4.16057E-08;67.3;32.1;35.3;123;3.87025E-08;67.9;32.1;44.5;91.9;3.23732E-08;69.4;42.1;42.5;89.9
2.51134E-08;68.4;48;49.6;108;1.79107E-08;69.2;48;53;90.2;1.87464E-08;69.7;53.4;53.6;89.8
