Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
2.76732E-09;65;64.4;63.8;88.6;-8.75547E-13;67.3;64.4;34.4;86.3;1.60177E-13;67.1;26.8;36.5;84.8
1.53714E-09;65;64.6;63.7;87.7;4.37773E-18;65.4;64.6;33.5;82.4;-5.33922E-17;65.1;26.5;35.4;80.8
1.20227E-09;65;64.7;63.5;87.2;0;63.5;64.7;32.6;78.6;0;63.3;26.3;34.4;77.1
1.92527E-08;64.9;59.8;59.8;89.5;0;61.7;59.8;31.8;75;0;61.5;26.1;33.5;73.6
2.06712E-08;64.9;59.4;59.4;89.7;0;60;59.4;31;71.6;0;59.8;25.9;32.6;70.3
2.09177E-08;64.9;59.3;59.4;89.7;0;58.3;59.3;30.3;68.5;0;58.1;25.7;31.8;67.2
4.36769E-07;64.6;42.3;47.5;90;2.71809E-07;69.1;42.3;28.5;89.7;1.06469E-07;69;24.7;30.4;87.6
2.11437E-07;64.8;50.3;51.4;89.8;-1.75109E-14;67.6;50.3;29.4;87;1.60177E-14;67;24.7;29.9;83.4
2.13735E-08;64.9;59.2;59.3;89.7;3.64709E-08;67.4;59.2;28;86.4;0;65.1;24.5;29.2;79.5
5.58162E-08;64.8;57.7;58.4;89.7;1.75109E-13;67.5;57.7;27;85.9;0;63.3;24.3;28.6;76.1
2.1234E-08;64.9;59.2;59.3;89.7;8.75547E-17;65.6;59.2;26.5;81.8;0;61.5;24.1;28;72.6
2.12084E-08;64.9;59.2;59.3;89.7;0;63.7;59.2;26;78.1;0;59.8;24;27.4;69.4
2.11991E-08;64.9;59.2;59.3;89.7;0;61.9;59.2;25.6;74.5;0;58.2;23.8;26.9;66.4
2.11991E-08;64.9;59.2;59.3;89.7;3.08779E-07;68.1;59.2;22.1;88;0;56.6;23.6;26.4;63.6
2.12014E-08;64.9;59.2;59.3;89.7;1.96306E-07;69.4;59.2;42.2;89.9;3.76586E-07;67.5;20.7;22.2;86.8
2.12037E-08;64.9;59.2;59.3;89.7;1.12425E-07;69.7;59.2;54.1;89.9;2.39955E-07;69.4;41.7;42.2;89.9
2.12061E-08;64.9;59.2;59.3;89.7;4.88993E-08;69.5;59.2;57.6;89.4;1.37522E-07;69.7;53.8;54;89.9
2.12084E-08;64.9;59.2;59.3;89.7;1.31332E-12;67.7;59.2;58.1;85.9;6.10327E-08;69.4;56.5;66.1;89.3
8.03686E-08;64.9;56.5;57.4;89.7;2.18887E-16;65.8;56.5;55.9;82;-1.06784E-12;67.7;57.4;73.1;86
8.44801E-08;64.8;56.4;57.5;89.7;0;63.9;56.4;53.7;78.3;-5.33922E-16;65.8;56.2;69.8;82.1
8.73171E-08;64.7;56.2;57.6;89.8;0;62.1;56.2;51.6;74.7;0;63.9;55;66.8;78.3
1.00165E-07;64.8;55.8;57.5;89.8;0;60.3;55.8;49.7;71.3;0;62.1;53.9;63.9;74.8
9.30704E-08;64.9;56.3;57.9;89.7;0;58.7;56.3;47.8;68.2;0;60.4;52.9;61.2;71.4
9.75121E-08;64.9;59.6;60.7;89.5;0;57.1;59.6;46.1;65.2;0;58.7;51.8;58.7;68.2
1.76504E-09;65;64.5;63.7;88.2;0;55.5;64.5;44.5;62.5;0;57.1;50.9;56.3;65.3
1.3418E-09;65;64.6;63.6;87.4;0;54.1;64.6;43;59.9;0;55.6;49.9;54.1;62.5
1.0953E-09;65;64.7;63.4;86.9;0;52.7;64.7;41.5;57.4;0;54.1;49;52;59.9
1.92643E-08;64.9;59.8;59.8;89.5;0;51.3;59.8;40.2;55.1;0;52.7;48.1;50;57.5
2.07247E-08;64.9;59.4;59.4;89.7;0;50;59.4;38.9;53;0;51.3;47.2;48.2;55.2
2.09828E-08;64.9;59.3;59.4;89.7;0;48.8;59.3;37.7;51;0;50;46.4;46.4;53
5.18331E-07;64.2;44;51.2;90.2;1.0961E-07;68.4;44;29.6;87.9;0;48.8;45.5;44.8;51
3.64742E-07;64.7;45.9;48.4;90;7.34759E-08;68.4;45.9;29.1;88;0;47.6;44.7;43.3;49.1
1.47554E-07;64.9;55;55.9;89.8;1.10288E-07;68.4;55;29;88.3;0;46.4;44;41.8;47.3
3.62263E-08;64.9;58.6;59;89.7;3.92245E-08;68.5;58.6;28.8;88.1;0;45.4;43.3;40.5;45.7
9.07263E-08;64.8;56.4;57.8;89.8;3.0884E-07;68.8;56.4;22.4;89.5;0;44.3;42.5;39.2;44.1
2.12874E-08;64.9;59.2;59.3;89.7;1.96867E-07;69.4;59.2;42.1;89.9;0;43.3;41.8;38;42.6
3.84402E-08;64.9;58.6;59.1;89.7;1.13055E-07;69.7;58.6;54;89.9;4.17346E-07;68.5;20.5;21.8;89.3
4.77863E-08;64.9;58.2;58.9;89.7;5.07686E-08;69.5;58.2;65.9;89.4;2.36255E-07;69.5;42.1;42.6;89.9
7.69734E-08;64.9;57.2;58.4;89.7;3.50219E-12;67.8;57.2;73.1;86.2;1.40005E-07;69.7;53.5;53.7;89.9
1.16016E-07;64.8;55.7;57.5;89.7;4.37773E-15;65.9;55.7;69.9;82.4;6.89988E-08;69.6;57;64.8;89.5
1.29385E-07;64.6;54.5;56.9;89.8;0;64;54.5;66.8;78.6;6.94099E-12;68;58.5;73.5;86.5
1.16486E-07;64.8;55.4;57.2;89.8;7.0626E-08;64.4;55.4;53.7;79.5;5.33922E-15;66;57.2;70;82.4
1.17586E-07;64.7;55.4;57.6;89.8;7.70174E-08;68.5;55.4;28.9;88;0;64.1;56.1;67;78.6
1.31262E-07;64.7;54.8;57.3;89.8;7.95697E-08;68.5;54.8;28.8;88.1;0;62.3;54.9;64.1;75
1.33013E-07;64.7;54.6;57;89.8;7.6247E-08;68.6;54.6;28.9;88.2;0;60.5;53.8;61.4;71.7
1.30676E-07;64.7;54.8;57.3;89.8;8.98004E-08;68.4;54.8;28.9;88.2;0;58.8;52.8;58.9;68.5
1.25429E-07;64.7;55;57.3;89.8;8.19862E-08;68.4;55;29.3;88.2;0;57.2;51.8;56.5;65.5
1.47029E-07;64.9;58;60.1;89.6;9.93702E-08;68.4;58;29.7;88.4;0;55.7;50.8;54.2;62.7
2.83011E-09;65;64.4;63.5;88.5;-1.31332E-13;67.6;64.4;30;86.8;0;54.2;49.8;52.1;60.1
1.46505E-09;65;64.6;63.6;87.6;0;65.7;64.6;29.3;82.7;0;52.8;48.9;50.1;57.6
1.16274E-09;65;64.7;63.5;87.1;0;63.8;64.7;28.7;78.9;0;51.4;48;48.3;55.3
1.92689E-08;64.9;59.8;59.8;89.5;0;62;59.8;28.1;75.3;0;50.1;47.1;46.5;53.2
2.07038E-08;64.9;59.4;59.4;89.7;0;60.3;59.4;27.5;71.9;0;48.9;46.3;44.9;51.1
2.09549E-08;64.9;59.3;59.4;89.7;0;58.6;59.3;27;68.7;0;47.7;45.5;43.4;49.2
