Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
8.39565E-14;67.6;38.1;42.8;85.7;1.09419E-11;67.9;38.1;30.2;86.9;1.6857E-13;67;25.3;34.8;84.4
-3.35826E-16;65.8;37.6;41.6;81.9;-5.47093E-14;66.1;37.6;29.7;83;-5.05711E-16;65.2;25.3;34.1;80.7
0;64;37.1;40.4;78.3;2.73547E-16;64.3;37.1;29.2;79.4;0;63.4;25.2;33.3;77.1
0;62.3;36.7;39.3;74.9;0;62.6;36.7;28.7;75.9;0;61.7;25.2;32.6;73.8
0;60.7;36.2;38.2;71.7;0;60.9;36.2;28.3;72.6;0;60.1;25.1;32;70.7
0;59.1;35.8;37.2;68.7;0;59.4;35.8;27.8;69.6;0;58.6;25;31.3;67.7
6.36063E-07;69.4;37.1;40.2;89.8;3.74745E-07;68.9;37.1;28.1;89.3;0;57.1;24.9;30.7;65
2.90137E-07;69.3;38.6;40;89.7;1.79693E-07;68.5;38.6;24.2;89.3;2.57947E-07;66;22.6;24.8;83.9
1.52213E-07;68.5;16.3;17.7;89.7;2.52743E-07;68.9;16.3;26.6;89.8;2.56109E-07;68.9;25.4;26;89.7
1.35791E-07;68.8;22.5;23.2;89.8;1.94519E-07;69;22.5;28.9;89.8;2.39707E-07;69;28.1;28.9;89.8
9.38046E-08;69.2;37.3;37.4;89.7;1.31726E-07;69.3;37.3;41.8;89.7;1.62316E-07;69.3;41.5;41.8;89.7
7.17996E-08;69.4;43.4;43.7;89.7;2.69443E-10;68.7;43.4;67.9;87.9;3.32084E-10;68.7;56.4;67.9;87.9
3.77804E-11;68.5;55.4;55.4;87.6;2.73547E-14;66.9;55.4;65;84.3;3.37141E-14;66.9;55.2;65;84.3
8.39565E-15;66.7;54.3;53.4;83.9;0;65.1;54.3;62.4;80.6;0;65.1;54.1;62.4;80.6
0;65;53.2;51.5;80.3;2.14419E-07;68.3;53.2;24.9;88.3;2.64268E-07;68.3;22.4;24.9;88.3
4.21126E-08;65;42.5;42.2;80.4;1.34339E-07;69.3;42.5;41.1;89.7;1.65334E-07;69.3;41.5;41.1;89.7
1.21292E-07;68.9;28;27.8;89.7;7.34609E-08;69.6;28;53.2;89.6;9.05055E-08;69.6;53.2;53.2;89.6
8.61645E-08;69.3;39.9;40.1;89.7;6.83866E-11;68.6;39.9;60.1;87.3;8.42852E-11;68.6;59.4;60.1;87.3
5.70232E-08;69.2;42.7;43.2;89.5;1.36773E-13;66.7;42.7;57.9;83.6;1.6857E-13;66.7;58.2;57.9;83.6
1.06415E-07;68.7;34.3;38.5;88.5;5.47093E-16;64.9;34.3;55.8;80;6.74282E-16;64.9;57;55.8;79.9
9.21338E-08;68.4;28;34.7;88;2.2532E-07;68.7;28;22.9;89.1;2.77737E-07;68.7;21.4;22.9;89.1
1.41232E-07;68.8;29.9;35.5;88.2;1.0284E-07;69.5;29.9;47.7;89.7;1.26849E-07;69.5;48.2;47.7;89.7
1.44363E-07;68.6;30.6;36;87.8;3.40976E-08;69.6;30.6;60;89.3;4.20583E-08;69.6;59.9;60;89.3
2.0205E-07;68.6;31.3;36.4;87.8;-2.73547E-12;68.2;31.3;60.9;86.4;-3.37141E-12;68.2;60.3;60.9;86.4
4.19782E-12;68.2;34;37.6;87;1.36773E-14;66.3;34;58.6;82.7;1.6857E-14;66.3;59.1;58.6;82.7
-1.67913E-14;66.3;33.6;36.7;83.1;-1.36773E-17;64.6;33.6;56.5;79.1;-1.6857E-17;64.6;58;56.5;79.1
8.39565E-17;64.5;33.3;35.8;79.4;0;62.8;33.3;54.4;75.6;0;62.8;56.8;54.4;75.6
0;62.8;32.9;34.9;75.9;0;61.2;32.9;52.5;72.4;0;61.2;55.8;52.5;72.4
0;61.2;32.6;34.1;72.7;0;59.6;32.6;50.6;69.3;0;59.6;54.8;50.6;69.4
0;59.6;32.2;33.3;69.6;0;58.1;32.2;48.9;66.5;0;58.1;53.8;48.9;66.5
9.49044E-07;69.1;40;46.6;89.9;7.84778E-07;69.2;40;30.1;89.8;0;56.6;52.8;47.3;63.8
6.95965E-07;69.6;41.8;44.7;90;2.82355E-07;68.9;41.8;25;89.7;2.17978E-07;66;28.4;28.5;83.6
4.15358E-07;69.4;38.4;39.9;89.9;3.92033E-07;68.9;38.4;26.2;89.8;3.76317E-07;68.9;24.5;25.9;89.8
1.16154E-07;69.1;29.2;30;89.8;2.46903E-07;68.9;29.2;27.4;89.8;2.51187E-07;68.9;27.9;28.4;89.8
1.48124E-07;69.3;41.2;42.5;89.6;1.32998E-07;69.3;41.2;41.3;89.7;1.62552E-07;69.3;41.5;41.7;89.7
7.55608E-12;68.2;50.7;50.1;87.1;1.60025E-10;68.7;50.7;57.1;87.9;3.32084E-10;68.7;56.4;67.9;87.9
6.84329E-08;67;45.7;46.7;84.8;1.36773E-14;66.9;45.7;55;84.3;3.37141E-14;66.9;55.2;65;84.3
1.97944E-07;69;28.2;38.1;88.9;0;65.2;28.2;53;80.6;0;65.1;54.1;62.4;80.6
2.37253E-07;68.8;19.9;22.6;89.7;3.06427E-07;68.2;19.9;24.8;88.4;2.64504E-07;68.3;22.4;24.9;88.3
1.69852E-07;69.2;39.5;40;89.7;1.70337E-07;69.2;39.5;40.2;89.7;1.65738E-07;69.3;41.4;41.1;89.7
2.2654E-07;69.4;49.6;50.3;89.7;2.80768E-07;69.5;49.6;45.9;89.7;2.16444E-07;69.5;51.7;51.9;89.6
1.32147E-07;69;35.1;42.1;88.6;1.4286E-07;69.7;35.1;28.2;89;2.01762E-07;68.8;42.1;47.2;88.6
2.39385E-07;69;36.2;41.1;88.6;1.62528E-07;68.8;36.2;28.2;88.5;3.37141E-13;67.1;24.9;33.5;86.2
2.74588E-07;68.8;36.3;41.2;88.4;1.8898E-07;68.8;36.3;28.5;88.8;1.61406E-07;68.2;24;34.4;87.6
2.89524E-07;68.7;23.5;27.6;89.5;3.82705E-07;68.7;23.5;23.5;89.6;4.30815E-07;68.6;21.3;23.9;89.6
3.03671E-07;69.4;43.4;45;89.8;3.27722E-07;69.2;43.4;41.5;89.8;3.28122E-07;69.3;45.8;45.9;89.7
2.39914E-07;69.5;54;53.8;89.6;1.89198E-07;69.5;54;51.9;89.6;1.45561E-07;69.5;58.2;57.2;89.4
1.90858E-07;69.1;41;45.8;88.8;1.9694E-07;69;41;37;88.8;1.98289E-07;68.8;32.7;40.7;88.4
-2.51869E-14;67.5;36.1;41.9;85.6;1.36773E-12;67.3;36.1;30.4;85.6;-6.74282E-13;67;25.1;34.5;85.1
8.39565E-17;65.7;35.8;40.7;81.8;-1.36773E-14;65.5;35.8;29.9;81.9;3.37141E-15;65.2;25.1;33.8;81.3
0;63.9;35.4;39.6;78.2;1.36773E-16;63.7;35.4;29.5;78.2;0;63.5;25;33.1;77.7
0;62.2;35;38.5;74.8;0;62;35;29;74.8;0;61.8;25;32.4;74.3
0;60.6;34.6;37.5;71.6;0;60.4;34.6;28.5;71.7;0;60.2;24.9;31.7;71.2
0;59;34.2;36.6;68.6;0;58.8;34.2;28.1;68.7;0;58.6;24.8;31.1;68.2
