Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
1.1771E-07;68.7;35.7;37.5;88.3;4.71398E-08;68.8;35.7;27.4;88.6;1.17847E-08;69.2;27.3;30.8;87.9
8.88572E-08;69.2;32.9;34.8;88.4;6.70758E-08;68.5;32.9;26.3;88.9;7.35056E-08;68.3;24.8;27.1;88
1.14977E-07;69.3;32;33.6;88.6;1.01455E-07;68.7;32;26;89.4;7.3669E-08;68.7;24.3;26.5;88.4
1.28688E-07;69.1;25.4;24.9;89.1;1.45533E-07;67.3;25.4;23.4;89.5;1.41638E-07;68.8;23.3;25.7;88.7
8.99405E-08;68.7;23.8;23.1;88.6;9.78126E-08;67.3;23.8;24.9;89.4;1.46492E-07;67.8;22.7;21.9;89
9.85189E-08;69.5;34.5;36;88.6;1.47089E-07;67.7;34.5;25.8;89.3;1.26489E-07;67.1;23.3;22.8;89
1.27775E-07;69.4;31.4;33.4;88.5;1.37205E-07;67.1;31.4;22.9;89.4;8.17914E-08;67.4;18.9;20.3;88.4
2.47437E-07;69.3;23.8;26.2;89.3;2.23729E-07;68.9;23.8;22.3;89.5;2.95397E-07;68.4;21.5;23.5;89.5
1.98638E-07;69;23.3;23.1;89;2.3405E-07;68.4;23.3;23.9;89.5;2.46316E-07;68.2;22.2;22.3;89.5
1.56363E-07;69;20.7;23.4;89.3;1.57032E-07;67.7;20.7;22.7;89.3;1.82365E-07;68.9;22.6;24.9;89.4
1.74464E-08;68.7;23;21.9;88.1;1.81106E-08;66.8;23;22.8;88.1;1.80231E-08;68.5;24.8;23.6;88.1
3.17248E-08;67.4;23.3;21.7;88.1;4.42798E-08;67.5;23.3;21.7;88.1;4.02469E-08;67.1;23.7;22;88
1.36404E-07;68.1;24.1;25.5;89.2;1.81519E-07;68.2;24.1;25.3;89.2;2.07492E-07;68;25.9;25.2;89.2
9.59051E-08;68.4;25.7;25.6;89.1;1.23502E-07;68.5;25.7;25.4;89.1;1.40215E-07;68.4;23.5;25.4;89.1
1.01844E-07;68.4;24.5;23.9;89.1;1.40999E-07;68.8;24.5;23.5;89.1;1.61103E-07;68.7;23.7;23.5;89.1
1.3367E-07;69.4;31.6;33.4;89.2;1.75639E-08;67.3;31.6;22.2;88;2.00706E-08;67.3;23.6;22.2;88
9.9703E-08;69.1;24.8;27.3;89.2;3.89972E-08;66.4;24.8;21.7;88;4.84558E-08;66.5;23.7;22.1;88.1
1.74975E-07;68.9;21.7;24.3;89.2;2.18472E-07;67.9;21.7;23.3;89.3;1.87566E-07;67.8;21.6;23.6;89
