Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
4.77888E-08;69.3;35.9;38.4;88.2;3.11729E-08;68.7;35.9;26.2;88.4;3.35796E-08;69.1;23.8;25.8;88.3
4.26155E-08;69.3;32.2;34.5;88.6;6.69333E-08;69.1;32.2;25;89;2.37647E-08;69.3;24.7;26.7;88.2
6.06835E-08;69.4;32;34.2;88.6;4.28021E-08;69.2;32;25.4;88.8;3.31963E-08;69.1;24;26.2;88.3
3.52166E-08;69.3;33.7;35.8;88.3;3.08797E-08;69.1;33.7;25.9;88.7;4.4122E-08;69.4;24.7;26.6;88.6
5.08809E-08;69.4;38.6;37.9;88.6;9.25628E-08;69;38.6;31.9;89.3;1.07934E-07;69.2;35;34.8;88.9
5.60526E-08;69.4;33.8;35.8;88.9;3.24958E-08;69.2;33.8;25.5;88.6;3.97446E-08;69.2;24;26.2;88.7
4.60478E-08;69.3;32.7;35.1;88.6;7.45706E-08;69.1;32.7;25.4;89;3.5439E-08;69.2;24.6;26.5;88.5
9.22015E-08;69.7;34.8;35.2;88.9;1.03342E-07;68.9;34.8;30.1;89.7;1.16949E-07;68.9;29.1;30.1;89.6
9.29428E-08;69.2;34.6;34.9;89.2;3.67762E-08;69.2;34.6;26.1;88.8;7.24918E-08;68.7;28;29.5;89.3
5.0775E-08;68.9;36.8;36.3;89.3;8.0331E-08;68.4;36.8;27.4;89.3;5.12422E-08;68.8;35.2;34.7;88.9
4.81386E-14;69.1;39.7;37.5;85.8;3.35925E-09;68.5;39.7;23;87.8;5.98833E-14;69.1;39.3;37.1;85.6
4.81386E-17;69.1;39;36.4;81.9;-9.23504E-15;68.4;39;22.8;83.8;2.99417E-17;69;38.6;36;81.7
4.27776E-08;68.9;37;36;88.2;6.78706E-08;68.8;37;34.6;88.5;8.27947E-08;68.9;37;36;88.2
2.54332E-08;68.9;38.3;36.9;88.5;3.58666E-08;68.9;38.3;36.9;88.5;4.64874E-08;68.9;38.3;37;88.5
2.74583E-08;68.9;38.3;37;88.6;3.87964E-08;68.9;38.3;37;88.5;5.12332E-08;68.9;38.3;37;88.5
6.461E-08;69.4;31.9;33.6;89.3;4.61752E-14;69.1;31.9;37.1;85.5;5.98833E-14;69.1;39.4;37.2;85.5
3.48411E-08;69.3;31.4;33.4;88.1;2.11898E-08;69.2;31.4;29.7;86;2.99417E-17;69;38.8;36.1;81.5
7.07204E-08;69.2;36.1;36.5;89;9.92421E-08;69;36.1;28.4;89.5;1.19105E-07;69;30.4;31;88.3
7.04412E-08;69.3;36.4;36.1;89;6.93736E-08;69.4;36.4;41.3;88.7;3.55527E-08;69.4;23.8;25.8;88.5
8.35381E-08;69.2;34.9;35;89.2;9.19718E-08;69.1;34.9;33.4;89.2;1.28914E-07;68.8;30.7;31;89.6
4.01572E-08;69.4;33.9;35.8;88.7;5.92682E-08;69.1;33.9;25.7;89;2.45971E-08;69.2;24.5;26.4;88
7.47544E-08;69.3;31.1;33.8;89.1;3.76282E-08;69.1;31.1;25.5;88.9;2.46779E-08;69.3;25.5;27.7;88.4
7.12419E-08;69;34.1;35.6;89.5;9.15608E-08;69.2;34.1;27.8;89.2;1.1759E-07;69.1;33.7;33.6;89.1
4.47063E-08;69.4;33.2;35.7;88.8;3.73534E-08;69.2;33.2;25.9;88.8;3.77505E-08;69.1;24.7;26.8;88.8
7.57333E-08;69.4;34.8;36.9;89.1;8.48308E-08;69.1;34.8;26.1;89;3.8502E-08;69.2;24.7;26.8;88.8
6.93565E-08;69.4;35.6;37.8;88.8;5.14623E-08;69.1;35.6;27;89;3.72474E-08;69.2;25;27.1;88.5
5.63334E-08;69.4;35.7;38.1;88.9;5.28752E-08;69.2;35.7;27.2;88.9;4.58856E-08;69.3;25.6;27.8;88.6
5.77647E-08;69.4;35.7;38.3;88.9;5.27644E-08;69.2;35.7;27.5;88.8;6.33596E-08;69.2;26.3;28.1;88.9
1.17761E-07;69.4;34.5;38.6;89.2;1.17897E-07;69.2;34.5;32.5;89.5;1.22054E-07;69.4;26.6;27.5;88.9
6.61473E-08;69.4;35.7;38.6;88.8;3.73557E-08;69.2;35.7;27.7;88.6;6.93958E-08;69.2;25.9;27.8;89
6.42105E-08;69.4;38.4;40.6;89;1.04605E-07;69.2;38.4;27.6;89.2;6.04852E-08;69.3;26.1;28.2;88.8
1.06486E-07;69.3;35.4;36.1;89.3;1.29752E-07;68.9;35.4;31.9;89.5;1.29573E-07;68.8;30.2;31.3;89.7
7.96052E-08;69.6;38.2;38.1;89.1;6.6797E-08;69.3;38.2;27.8;89.2;4.56251E-08;69.2;26.1;28.3;89
1.01324E-07;69.3;35.1;35.7;89.4;9.37103E-08;68.8;35.1;29.6;89.5;1.10605E-07;68.6;26.6;28.4;89.4
2.75658E-08;69.5;32.5;36.5;88.3;3.48115E-08;69;32.5;25.6;89;1.71566E-08;68.7;22.7;25.2;88.3
9.09338E-09;69.4;30.2;34.7;87.9;-4.61752E-14;69.1;30.2;25.9;86.6;-5.98833E-14;68.7;22.5;24.9;84.8
4.77262E-08;69;36.3;36;88.9;6.45991E-08;68.9;36.3;34.9;88.7;8.81632E-08;68.9;35.4;34.7;88.6
8.88927E-08;69.5;35.5;38.4;89;7.25089E-08;69;35.5;30.8;89;8.90196E-08;69;32;32.3;89.1
6.97817E-08;69.6;37.4;38;88.7;9.23158E-08;69.3;37.4;33.1;89.1;8.35702E-08;68.9;30.3;31.2;89.4
6.75224E-08;69.4;31.8;35.7;89.2;2.16446E-08;69.2;31.8;26.2;88.9;2.51181E-08;69.1;24.3;26.6;88.6
7.36986E-08;69.4;34;37.2;89.2;6.91104E-08;69.2;34;26.9;89.3;4.95684E-08;69.3;25.3;27.4;88.9
1.24044E-07;69.3;34.5;35.6;89.7;1.5432E-07;69.2;34.5;33;89.4;1.57056E-07;69;31;31.5;89.6
9.767E-08;68.8;35.5;37.2;89.7;9.50978E-08;68.9;35.5;28.1;89.4;1.04254E-07;68.5;29.4;30.6;89.6
9.7471E-08;69.2;36.1;37.8;89.7;1.06143E-07;68.8;36.1;30.4;89.7;8.26929E-08;69.1;26.9;29.3;89.2
7.63687E-08;69.4;37.3;40;88.9;7.03548E-08;69.2;37.3;28.1;89;8.11329E-08;69.2;25.3;27.3;89
7.16142E-08;69.4;38.2;40.6;89;6.87064E-08;69.2;38.2;28.5;88.9;3.4409E-08;69.2;27;29.1;88.4
9.23924E-08;69.3;36.6;37.6;89.6;1.11571E-07;68.9;36.6;28.7;89.5;1.14617E-07;69.2;28.4;30.7;89.1
8.86504E-08;69.4;37.6;40.2;89.1;7.14746E-08;69.2;37.6;28.2;89.1;6.8785E-08;69.1;26.4;28.5;88.8
6.91559E-08;69.4;38.5;41.1;89;6.66978E-08;69.2;38.5;28.8;88.9;7.84771E-08;69.2;26.4;28.3;89
8.61055E-08;69.4;37.6;40.3;88.9;5.84855E-08;69.2;37.6;28.1;88.7;7.33451E-08;69.2;26.5;28.4;89
7.58295E-08;69.4;38.9;41.6;89.1;1.01752E-07;69.2;38.9;28.2;89.2;5.51825E-08;69.3;26.7;28;88.9
7.52695E-08;69.4;37.6;40.4;89.2;5.35309E-08;69.2;37.6;28.4;89;5.07391E-08;69.2;26.6;28.7;88.9
7.67634E-08;69.1;36.4;38.4;89.6;1.19661E-07;69.2;36.4;34.3;89.1;9.17712E-08;69.1;27.5;29.9;89
1.00874E-07;69.5;35.4;38.7;89.3;7.36748E-08;69.2;35.4;28.6;89.2;6.37099E-08;69.3;26.9;28.8;88.9
7.27952E-08;69.4;37.5;40.2;88.9;7.24928E-08;69.2;37.5;28.2;89;8.01269E-08;69.1;26.2;28.1;89
9.49004E-08;69.3;35.9;36.3;89.3;1.33155E-07;69.1;35.9;33.1;89.4;1.51502E-07;69;31.9;32.2;89.6
8.09435E-08;69.5;38.1;38.1;89.1;1.03816E-07;69.1;38.1;31;89.4;1.00853E-07;68.9;29.6;30.8;89.6
8.94624E-08;69.3;35.8;36.1;89.2;6.75982E-08;68.9;35.8;30;89.5;7.72495E-08;68.7;33.7;33.8;89.2
3.22513E-08;69.4;31.7;35.6;88.4;1.72626E-08;69;31.7;25.8;88.5;4.9793E-09;68.8;24.6;26.3;88
